timestamp;window_ts;tabs_open;tabs_grouped;tabs_ungrouped;switches_within;switches_between;switches_from;switches_to;switches_outside
2020-05-29 18:40:17,596;5302567;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:45:02,784;5302568;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:45:08,999;5302568;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:50:08,341;5302569;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:50:14,556;5302569;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 18:55:13,898;5302570;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 18:55:20,118;5302570;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:00:05,306;5302571;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:00:19,455;5302571;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:05:04,646;5302572;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:05:10,862;5302572;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:10:10,204;5302573;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:10:16,420;5302573;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:15:01,607;5302574;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:15:15,760;5302574;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:20:00,946;5302575;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:20:07,164;5302575;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:25:06,504;5302576;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:25:12,720;5302576;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:30:12,064;5302577;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:30:18,276;5302577;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:35:03,466;5302578;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:35:16,370;5302578;5.0;1.0;4.0;0;0;0;1;9
2020-05-29 19:35:17,621;5302578;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:40:01,562;5302579;3.2857142857142856;1.0;2.2857142857142856;0;0;0;1;10
2020-05-29 19:40:02,808;5302579;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:40:09,022;5302579;0.0;0.0;0.0;0;0;0;0;0
